Class,Lesson 1,Lesson 2,Lesson 3,Lesson 4,Lesson 5,Lesson 6
5A,-,"Literature
Jim Doe","History
William Davis","Deutsch
Janice Doe","Math
John Doe","Biology
Oliver Thompson"
5B,"Deutsch
Janice Doe","English
Robert Mitchell","Deutsch
Janice Doe","Technology
Amelia Clark","Physical Education
James Wilson",-
6A,"Chemistry
Sophie Martin","History
William Davis","Chemistry
Sophie Martin","Music
Charlotte Brown","Social Studies
William Davis",-
6B,-,-,"Literature
Jim Doe","Computer Science
Emma Johnson","Technology
Amelia Clark",-
7A,"History
William Davis","Deutsch
Janice Doe",-,"Literature
Jim Doe","Art
Benjamin Taylor",-
7B,-,-,"Art
Benjamin Taylor",-,"Geography
Isabella Garcia","Technology
Amelia Clark"
8A,"Literature
Jim Doe","Art
Benjamin Taylor","Music
Charlotte Brown","History
William Davis",-,-
8B,-,-,-,-,-,-
9A,-,"Chemistry
Sophie Martin","Technology
Amelia Clark",-,"Music
Charlotte Brown",-
9B,"Math
Jane Doe","Physics
Lucas Anderson",-,"Art
Benjamin Taylor","Chemistry
Sophie Martin","Physical Education
James Wilson"
10A,-,-,-,"Geography
Isabella Garcia",-,-
11A,"Art
Benjamin Taylor","Music
Charlotte Brown",-,-,-,-
