Class,Lesson 1,Lesson 2,Lesson 3,Lesson 4,Lesson 5,Lesson 6
5A,"Art
Benjamin Taylor","Computer Science
Emma Johnson","Math
Jane Doe","Geography
Isabella Garcia","Physics
Lucas Anderson","Physics
Lucas Anderson"
5B,"Social Studies
William Davis","Deutsch
Janice Doe","Physics
Lucas Anderson","Literature
Jim Doe",-,-
6A,"English
Emily Watson","Physical Education
James Wilson","Math
John Doe",-,"Social Studies
William Davis","Geography
Isabella Garcia"
6B,-,"Social Studies
William Davis","Technology
Amelia Clark","Biology
Oliver Thompson","Chemistry
Sophie Martin","Computer Science
Emma Johnson"
7A,-,"Technology
Amelia Clark","Geography
Isabella Garcia","History
William Davis","Biology
Oliver Thompson","Social Studies
William Davis"
7B,"Geography
Isabella Garcia","Deutsch
Jim Doe","Computer Science
Emma Johnson",-,-,-
8A,-,-,"Social Studies
William Davis","Computer Science
Emma Johnson","Physical Education
James Wilson","Technology
Amelia Clark"
8B,"Literature
Jim Doe","Geography
Isabella Garcia","English
Robert Mitchell",-,"Literature
Jim Doe","Chemistry
Sophie Martin"
9A,-,"Art
Benjamin Taylor","Biology
Oliver Thompson",-,-,-
9B,"Math
John Doe","Physics
Lucas Anderson",-,"Technology
Amelia Clark","Technology
Amelia Clark",-
10A,-,"English
Emily Watson","Art
Benjamin Taylor","Physical Education
James Wilson",-,-
11A,-,-,-,"Music
Charlotte Brown","Computer Science
Emma Johnson",-
