Class,Lesson 1,Lesson 2,Lesson 3,Lesson 4,Lesson 5,Lesson 6
5A,-,"Geography
Isabella Garcia",-,-,-,-
5B,"English
Emily Watson","Chemistry
Sophie Martin","History
William Davis","Physics
Lucas Anderson","Chemistry
Sophie Martin","Physics
Lucas Anderson"
6A,"Social Studies
William Davis","History
William Davis","Literature
Janice Doe","Computer Science
Emma Johnson","Deutsch
Janice Doe","Technology
Amelia Clark"
6B,"Music
Charlotte Brown","Deutsch
Jim Doe","Chemistry
Sophie Martin","Deutsch
Jim Doe",-,-
7A,-,-,-,-,-,-
7B,"Biology
Oliver Thompson","Physical Education
James Wilson","Geography
Isabella Garcia",-,-,-
8A,-,-,-,-,"Music
Charlotte Brown","Literature
Janice Doe"
8B,"Literature
Janice Doe","English
Robert Mitchell","Computer Science
Emma Johnson","Music
Charlotte Brown","Geography
Isabella Garcia","Chemistry
Sophie Martin"
9A,"Literature
Jim Doe","Literature
Janice Doe",-,"Geography
Isabella Garcia","Technology
Amelia Clark","Social Studies
William Davis"
9B,-,-,-,-,"History
William Davis",-
10A,-,-,-,-,"Physics
Lucas Anderson",-
11A,-,-,"Physics
Lucas Anderson",-,-,-
