Class,Lesson 1,Lesson 2,Lesson 3,Lesson 4,Lesson 5,Lesson 6
5A,"Biology
Oliver Thompson","Biology
Oliver Thompson",-,"Deutsch
Jim Doe","Physical Education
James Wilson",-
5B,"Technology
Amelia Clark","Math
Jane Doe","Social Studies
William Davis",-,"Geography
Isabella Garcia","Literature
Jim Doe"
6A,"Physical Education
James Wilson","Chemistry
Sophie Martin","Physical Education
James Wilson","Geography
Isabella Garcia","Literature
Jim Doe",-
6B,"Chemistry
Sophie Martin","Literature
Janice Doe","Math
John Doe",-,-,-
7A,"Math
John Doe","Physical Education
James Wilson",-,"Math
John Doe",-,-
7B,-,"Technology
Amelia Clark","Chemistry
Sophie Martin","Physical Education
James Wilson","Math
John Doe","Biology
Oliver Thompson"
8A,-,-,-,"History
William Davis",-,"Computer Science
Emma Johnson"
8B,-,"Physics
Lucas Anderson","Biology
Oliver Thompson","English
Emily Watson",-,-
9A,-,-,-,"Physics
Lucas Anderson","Music
Charlotte Brown","Physical Education
James Wilson"
9B,-,-,-,-,"Biology
Oliver Thompson",-
10A,-,"Math
John Doe",-,"Music
Charlotte Brown","Chemistry
Sophie Martin",-
11A,-,-,"Literature
Jim Doe","Computer Science
Emma Johnson","Computer Science
Emma Johnson","English
Robert Mitchell"
