Class,Lesson 1,Lesson 2,Lesson 3,Lesson 4,Lesson 5,Lesson 6
5A,-,"Technology
Amelia Clark","Geography
Isabella Garcia","Technology
Amelia Clark","Biology
Oliver Thompson","Biology
Oliver Thompson"
5B,-,"Literature
Jim Doe","Physics
Lucas Anderson","Literature
Janice Doe","Physics
Lucas Anderson","History
William Davis"
6A,-,-,"English
Robert Mitchell","Music
Charlotte Brown","Math
Jane Doe","Physics
Lucas Anderson"
6B,"Chemistry
Sophie Martin","Computer Science
Emma Johnson","Art
Benjamin Taylor","Geography
Isabella Garcia","Physical Education
James Wilson","Physical Education
James Wilson"
7A,-,"Literature
Janice Doe","Deutsch
Jim Doe","Biology
Oliver Thompson","Technology
Amelia Clark",-
7B,"Social Studies
William Davis","Chemistry
Sophie Martin","History
William Davis","Physical Education
James Wilson",-,-
8A,"Physics
Lucas Anderson","English
Robert Mitchell","Technology
Amelia Clark","Physics
Lucas Anderson","Computer Science
Emma Johnson",-
8B,-,"History
William Davis","Math
John Doe",-,-,-
9A,-,-,"Literature
Janice Doe",-,-,-
9B,"Computer Science
Emma Johnson","Art
Benjamin Taylor",-,"Computer Science
Emma Johnson","Geography
Isabella Garcia",-
10A,-,-,"Music
Charlotte Brown","English
Robert Mitchell",-,-
11A,-,-,"Computer Science
Emma Johnson","History
William Davis","Social Studies
William Davis",-
