Class,Lesson 1,Lesson 2,Lesson 3,Lesson 4,Lesson 5,Lesson 6
5A,-,"Music
Charlotte Brown","English
Robert Mitchell","Chemistry
Sophie Martin","Deutsch
Jim Doe","Geography
Isabella Garcia"
5B,"History
William Davis","Computer Science
Emma Johnson","Technology
Amelia Clark","Music
Charlotte Brown",-,-
6A,-,"Literature
Jim Doe","Deutsch
Jim Doe","Literature
Janice Doe","Music
Charlotte Brown",-
6B,-,-,"Music
Charlotte Brown","History
William Davis","Geography
Isabella Garcia","Social Studies
William Davis"
7A,-,"Social Studies
William Davis","Chemistry
Sophie Martin","Literature
Jim Doe","Math
John Doe","Art
Benjamin Taylor"
7B,"Deutsch
Jim Doe","Math
Jane Doe","Geography
Isabella Garcia","Physics
Lucas Anderson","Computer Science
Emma Johnson","Computer Science
Emma Johnson"
8A,"Technology
Amelia Clark",-,"Deutsch
Janice Doe","English
Robert Mitchell",-,-
8B,-,"Chemistry
Sophie Martin","Math
Jane Doe","Computer Science
Emma Johnson",-,-
9A,"Computer Science
Emma Johnson",-,"History
William Davis",-,-,-
9B,-,"Literature
Janice Doe","Computer Science
Emma Johnson","English
Emily Watson","Chemistry
Sophie Martin",-
10A,-,"Physical Education
James Wilson","Physical Education
James Wilson",-,-,-
11A,-,"Technology
Amelia Clark","Physics
Lucas Anderson",-,"Social Studies
William Davis",-
