Class,Lesson 1,Lesson 2,Lesson 3,Lesson 4,Lesson 5,Lesson 6
5A,-,-,"Physical Education
James Wilson","History
William Davis","Literature
Janice Doe",-
5B,-,"Physical Education
James Wilson","Art
Benjamin Taylor","Physics
Lucas Anderson","Math
John Doe",-
6A,"English
Emily Watson","Art
Benjamin Taylor","Deutsch
Jim Doe","Art
Benjamin Taylor",-,-
6B,-,"Literature
Jim Doe","Music
Charlotte Brown","Music
Charlotte Brown","Music
Charlotte Brown","History
William Davis"
7A,-,"Literature
Janice Doe","Computer Science
Emma Johnson","Physical Education
James Wilson","Chemistry
Sophie Martin","Music
Charlotte Brown"
7B,"Art
Benjamin Taylor",-,-,"Biology
Oliver Thompson","Physical Education
James Wilson",-
8A,"Music
Charlotte Brown","Music
Charlotte Brown",-,"Computer Science
Emma Johnson","Biology
Oliver Thompson",-
8B,"Technology
Amelia Clark","Technology
Amelia Clark",-,-,-,-
9A,"Chemistry
Sophie Martin","Chemistry
Sophie Martin","Chemistry
Sophie Martin",-,-,-
9B,"English
Robert Mitchell","Geography
Isabella Garcia","Technology
Amelia Clark","Chemistry
Sophie Martin","History
William Davis",-
10A,-,-,"Geography
Isabella Garcia",-,-,-
11A,"Physical Education
James Wilson","English
Emily Watson","Physics
Lucas Anderson","Math
Jane Doe",-,-
